Student Name,Status,Subject,Lecturer,Period,Date,SavedAt
student (1),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (10),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (11),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (12),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (13),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (14),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (15),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (16),Absent,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (2),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (3),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (4),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (5),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (6),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (7),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (8),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
student (9),Present,Data Structures ,AV RAO,Period 1,2025-11-04,2025-11-04 15:01:48
